dataset_id,repository,species,tissue,muscle_type,disease_or_condition,age_group,sample_size,number_of_cells_if_single_cell,platform,data_type,publication_year,DOI,inclusion_decision,role_in_project,reason_for_decision
GSE167186_snRNA,GEO,Homo sapiens,skeletal muscle,lower limb muscle,aging and sarcopenia,young; old; sarcopenic,17 donors,143051 nuclei reported in downstream publications,10x Genomics single-nucleus RNA-seq; Illumina sequencing,snRNA-seq,2022,10.1038/s43587-022-00308-5,include,single-cell discovery/integration,Human aging/sarcopenia snRNA-seq with usable processed and raw data; directly supports FAP state analysis.
GSE225766,GEO,Mus musculus,skeletal muscle,gastrocnemius/plantaris,dystrophic muscle and injury/regeneration,wildtype; D2-mdx; post-injury,11 samples,,10x Genomics Visium; Illumina NextSeq 500,spatial transcriptomics,2023,10.1038/s41467-023-39858-6,include,spatial validation,"Best currently identified spatial transcriptomics support for fibro-adipogenic degenerative niches; mouse model, so use for mechanistic support."
GSE254300,GEO,Homo sapiens,paraspinal muscle,bilateral paraspinal muscle,idiopathic scoliosis vs congenital scoliosis paraspinal imbalance/fibrosis,adolescent patients,20 samples,,bulk RNA-seq; Illumina NovaSeq 6000,bulk RNA-seq,2024,10.1186/s13018-024-04657-0,maybe,bulk validation/meta-validation,Paraspinal bulk RNA-seq with fibrosis signal; useful extension toward MRI-defined paraspinal degeneration but not an aging/sarcopenia cohort.
GSE110878,GEO,Mus musculus,skeletal muscle,hindlimb skeletal muscle,homeostatic muscle cartography,adult wildtype,13 samples,not specified in accession summary,10x Genomics Chromium; Illumina NextSeq 500,scRNA-seq,2019,10.7554/eLife.49716,maybe,single-cell support or sensitivity,Mouse homeostatic reference; useful for baseline FAP/stromal annotation but not degeneration-focused.
GSE149590,GEO,Mus musculus,multiple tissues including skeletal muscle,limb skeletal muscle in Tabula Muris Senis,aging across lifespan,multiple ages,2 GEO sample containers,not specified for muscle subset,Tabula Muris Senis droplet and FACS,scRNA-seq,2020,10.1038/s41586-020-2496-1,maybe,single-cell support or sensitivity,Large mouse aging reference but extraction of skeletal muscle subset and FAP depth need verification.
GSE196554,GEO,Homo sapiens,skeletal muscle,vastus lateralis; pectoralis major; rectus abdominis; gastrocnemius,healthy muscle stem cell aging,20-87 years,12 donors,not specified in accession summary,10x Genomics single-cell RNA-seq; Illumina NovaSeq 6000,scRNA-seq,2023,10.1371/journal.pone.0285018,maybe,single-cell support or sensitivity,"Human aging scRNA-seq but purified MuSCs rather than FAP/stromal cells; useful for regeneration-failure context, not DA-FAP discovery."
GSE226173,GEO,Mus musculus,skeletal muscle,hindlimb muscle macrophage-enriched samples,healthy vs dystrophic mdx muscle,young adult mouse models,6 samples,not specified in accession summary,10x Genomics scRNA-seq; Illumina HiSeq/NovaSeq,scRNA-seq,2023,10.1126/sciadv.add9984,maybe,single-cell support or sensitivity,"Useful for macrophage-FAP communication in fibrotic muscle; macrophage-enriched and mouse-specific, so supportive rather than primary."
GSE279741,GEO,Mus musculus,skeletal muscle,injured skeletal muscle immune compartment,aging and regeneration,young 3 months vs old 25 months; 0/1/3/5 dpi,8 samples,not specified in accession summary,FACS CD45+; 10x Chromium; Illumina NovaSeq 6000,scRNA-seq,2024,10.1016/j.celrep.2024.114975,maybe,single-cell support or sensitivity,"Strong aging immune reference for macrophage-DA-FAP communication, but CD45+ sorted and lacks FAPs."
GSE291156,GEO,Mus musculus,skeletal muscle,mechanically overloaded geriatric muscle,geriatric muscle loading with satellite-cell depletion,28-month-old geriatric mice,not specified in search summary,not specified in search summary,single-cell RNA-seq,scRNA-seq,2025,10.1093/pnasnexus/pgaf236,maybe,single-cell support or sensitivity,Very relevant current geriatric fibrogenic-cell communication dataset; metadata and processed matrix availability need verification before inclusion.
PRJNA722100,SRA BioProject,Homo sapiens,paraspinal muscle,paravertebral muscle,adolescent idiopathic scoliosis muscle imbalance/fibrosis,adolescent patients,2 patients,not specified in source article,10x Genomics scRNA-seq,scRNA-seq,2023,10.1038/s41421-023-00531-5,maybe,single-cell support or sensitivity,Strategically relevant paraspinal FAP/fibrosis dataset; not aging degeneration and processed matrices must be verified.
SCP2678,Single Cell Portal,Homo sapiens,skeletal muscle,quadriceps; gracilis; biceps brachii cultured FAPs,Duchenne muscular dystrophy vs control,pediatric,5 donors,~10000 cultured FAPs,10x Genomics Next GEM 3 prime v3.1,scRNA-seq,2024,10.3389/fcell.2024.1399319,maybe,single-cell support or sensitivity,"Highly relevant human FAP disease dataset, but cells were cultured/expanded; use as supportive validation rather than primary tissue atlas."
GSE180225,GEO,Mus musculus,skeletal muscle,tibialis anterior,aging and injury regeneration,adult/young vs aged; uninjured and 4/7 dpi,13 samples,,single-nucleus RNA-seq; Illumina NextSeq/NovaSeq,snRNA-seq,2023,10.1016/j.stemcr.2023.05.005,maybe,single-cell support or sensitivity,"Useful trajectory/regeneration-failure reference, but myogenic-nuclei centered and not FAP-rich."
GSE210773,GEO,Oryctolagus cuniculus,skeletal muscle,rotator cuff muscle,rotator cuff tear fatty/fibrotic degeneration,adult rabbit model,not specified in accession summary,,10x Genomics Visium,spatial transcriptomics,2022,10.1186/s13018-022-03326-8,maybe,spatial validation,"Highly relevant fatty/fibrotic muscle pathology spatial dataset, but rabbit ortholog mapping and metadata complexity make it secondary."
GSE215305,GEO,Mus musculus,skeletal muscle,gastrocnemius,D2-mdx dystrophic muscle regeneration/senescence,8-week-old mouse,1 sample,,10x Genomics Visium; Illumina NovaSeq 6000,spatial transcriptomics,2022,10.7554/eLife.85417,maybe,spatial validation,Relevant processed Visium data but single sample; use only as secondary spatial support.
