dataset_id,repository,organism,species,tissue,muscle_type,disease_or_condition,age_group,sample_size,number_of_cells_if_single_cell,platform,data_type,raw_data_available,processed_matrix_available,clinical_metadata_available,key_phenotypes,publication_title,publication_year,DOI,download_url,inclusion_decision,reason_for_decision
GSE25941,GEO,human,Homo sapiens,skeletal muscle,vastus lateralis,healthy aging,"young vs old adults",36 samples,NA,"Affymetrix Human Genome U133 Plus 2.0 Array",bulk RNA-seq,yes,yes,yes,"young n=15; old n=21; sex; age","Effects of age on the skeletal muscle transcriptome",2012,10.1111/j.1532-5415.2011.03943.x,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25941,include,"Independent human aging validation; microarray but well-described sample groups."
GSE38718,GEO,human,Homo sapiens,skeletal muscle,biceps brachii,sex and aging effects,"young vs older adults",22 samples,NA,"Affymetrix Human Genome U133 Plus 2.0 Array",bulk RNA-seq,yes,yes,yes,"age; sex; young/older groups","Sex and aging effect on skeletal muscle transcriptome in humans",2013,10.1152/japplphysiol.01142.2012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38718,include,"Independent human aging validation cohort; microarray, smaller sample size."
GSE225766,GEO,mouse,Mus musculus,skeletal muscle,gastrocnemius/plantaris,dystrophic muscle and injury/regeneration,"wildtype; D2-mdx; post-injury",11 samples,NA,"10x Genomics Visium; Illumina NextSeq 500",spatial transcriptomics,yes,yes,yes,"WT vs D2-mdx; injury days; degenerative lesions; ECM and stromal regions","A cellular and molecular spatial atlas of dystrophic muscle",2023,10.1038/s41467-023-39858-6,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225766,include,"Best currently identified spatial transcriptomics support for fibro-adipogenic degenerative niches; mouse model, so use for mechanistic support."
GSE215305,GEO,mouse,Mus musculus,skeletal muscle,gastrocnemius,D2-mdx dystrophic muscle regeneration/senescence,8-week-old mouse,1 sample,NA,"10x Genomics Visium; Illumina NovaSeq 6000",spatial transcriptomics,yes,yes,limited,"D2-mdx; regeneration; senescence-like SASP; FAP/macrophage signals","Muscle injury induces a transient senescence-like state that is required for myofiber growth during muscle regeneration",2022,10.7554/eLife.85417,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215305,maybe,"Relevant processed Visium data but single sample; use only as secondary spatial support."
GSE210773,GEO,rabbit,Oryctolagus cuniculus,skeletal muscle,rotator cuff muscle,rotator cuff tear fatty/fibrotic degeneration,adult rabbit model,not specified in accession summary,NA,"10x Genomics Visium",spatial transcriptomics,yes,yes,partial,"rotator cuff tear; regional muscle pathology; fatty/fibrotic replacement","Spatial transcriptomics tools allow for regional exploration of heterogeneous muscle pathology in the pre-clinical rabbit model of rotator cuff tear",2022,10.1186/s13018-022-03326-8,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210773,maybe,"Highly relevant fatty/fibrotic muscle pathology spatial dataset, but rabbit ortholog mapping and metadata complexity make it secondary."
GSE138826,GEO,mouse,Mus musculus,skeletal muscle,tibialis anterior,cardiotoxin injury regeneration,"0.5 to 21 days post-injury plus uninjured",7 samples,"~35000 cells reported in publication context","10x Genomics Chromium; Illumina NovaSeq 6000",scRNA-seq,yes,yes,yes,"regeneration time course; FAP states; mononuclear muscle cells","Single-cell transcriptomic analysis of muscle regeneration reveals novel roles for Oncostatin M in myogenesis",2020,10.1016/j.celrep.2020.03.035,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138826,include,"Strong mouse regeneration reference with FAP dynamics; useful for trajectory and communication support."
GSE110878,GEO,mouse,Mus musculus,skeletal muscle,hindlimb skeletal muscle,homeostatic muscle cartography,adult wildtype,13 samples,not specified in accession summary,"10x Genomics Chromium; Illumina NextSeq 500",scRNA-seq,yes,yes,partial,"mononuclear cells; MuSCs; mesenchymal-like cells; FAP reference","Combination of high-dimensional approaches for skeletal muscle tissue cartography",2019,10.7554/eLife.49716,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110878,maybe,"Mouse homeostatic reference; useful for baseline FAP/stromal annotation but not degeneration-focused."
GSE149590,GEO,mouse,Mus musculus,multiple tissues including skeletal muscle,limb skeletal muscle in Tabula Muris Senis,aging across lifespan,multiple ages,2 GEO sample containers,not specified for muscle subset,"Tabula Muris Senis droplet and FACS",scRNA-seq,yes,yes,partial,"multi-tissue aging; skeletal muscle subset available in processed resources","Tabula Muris Senis",2020,10.1038/s41586-020-2496-1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149590,maybe,"Large mouse aging reference but extraction of skeletal muscle subset and FAP depth need verification."
GSE226173,GEO,mouse,Mus musculus,skeletal muscle,hindlimb muscle macrophage-enriched samples,healthy vs dystrophic mdx muscle,"young adult mouse models",6 samples,not specified in accession summary,"10x Genomics scRNA-seq; Illumina HiSeq/NovaSeq",scRNA-seq,yes,yes,yes,"WT vs mdx; muscle macrophage states; mdx mononuclear cell sample; SPP1/FAP communication context","Single-cell transcriptomic profiling of healthy and dystrophic muscle macrophage",2023,10.1126/sciadv.add9984,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226173,maybe,"Useful for macrophage-FAP communication in fibrotic muscle; macrophage-enriched and mouse-specific, so supportive rather than primary."
GSE196554,GEO,human,Homo sapiens,skeletal muscle,"vastus lateralis; pectoralis major; rectus abdominis; gastrocnemius",healthy muscle stem cell aging,"20-87 years",12 donors,not specified in accession summary,"10x Genomics single-cell RNA-seq; Illumina NovaSeq 6000",scRNA-seq,yes,yes,yes,"purified human satellite cells; age groups; transcriptional heterogeneity loss","Loss of transcriptional heterogeneity in aged human muscle stem cells",2023,10.1371/journal.pone.0285018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196554,maybe,"Human aging scRNA-seq but purified MuSCs rather than FAP/stromal cells; useful for regeneration-failure context, not DA-FAP discovery."
GSE180225,GEO,mouse,Mus musculus,skeletal muscle,tibialis anterior,aging and injury regeneration,"adult/young vs aged; uninjured and 4/7 dpi",13 samples,NA,"single-nucleus RNA-seq; Illumina NextSeq/NovaSeq",snRNA-seq,yes,yes,yes,"pseudotime; aged regeneration failure; myogenic nuclei","Aging disrupts gene expression timing during muscle regeneration",2023,10.1016/j.stemcr.2023.05.005,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180225,maybe,"Useful trajectory/regeneration-failure reference, but myogenic-nuclei centered and not FAP-rich."
GSE279741,GEO,mouse,Mus musculus,skeletal muscle,injured skeletal muscle immune compartment,aging and regeneration,"young 3 months vs old 25 months; 0/1/3/5 dpi",8 samples,not specified in accession summary,"FACS CD45+; 10x Chromium; Illumina NovaSeq 6000",scRNA-seq,yes,yes,yes,"aged immune remodeling; myeloid/lymphoid dynamics during regeneration","The immune landscape of murine skeletal muscle regeneration and aging",2024,10.1016/j.celrep.2024.114975,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279741,maybe,"Strong aging immune reference for macrophage-DA-FAP communication, but CD45+ sorted and lacks FAPs."
GSE291156,GEO,mouse,Mus musculus,skeletal muscle,mechanically overloaded geriatric muscle,geriatric muscle loading with satellite-cell depletion,"28-month-old geriatric mice",not specified in search summary,not specified in search summary,"single-cell RNA-seq",scRNA-seq,yes,unclear,partial,"geriatric muscle; fibrogenic cell-macrophage communication; Cd74/Mif axis; ECM remodeling","Satellite cells choreograph an immune cell-fibrogenic cell circuit during mechanical loading in geriatric skeletal muscle",2025,10.1093/pnasnexus/pgaf236,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291156,maybe,"Very relevant current geriatric fibrogenic-cell communication dataset; metadata and processed matrix availability need verification before inclusion."
GSE282285,GEO,mouse,Mus musculus,skeletal muscle,"FACS-isolated MuSCs and FAPs",aged/PRC2-deficient muscle fibrosis and FAP expansion,"adult control and iEzh2KO; aged context in publication",31 samples,NA,"bulk RNA-seq; Illumina NovaSeq 6000",bulk RNA-seq,yes,yes,yes,"FAP expansion; fibrosis; IL-6; Spp1; MuSC-FAP signaling; injury days 3/7","Aged muscle stem cells epigenetically drive the expansion of mesenchymal progenitors",2025,10.1038/s43587-025-01002-0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282285,include,"Directly relevant sorted FAP/MuSC bulk RNA-seq support for aging-associated FAP expansion and IL6/SPP1 signaling; mouse mechanistic support."
GSE317327,GEO,human,Homo sapiens,tendon,tendon,healthy lifespan tendon atlas,lifespan,not specified in search summary,not specified in search summary,"spatial and single-cell transcriptomics",spatial transcriptomics,yes,unclear,partial,"tendon lifespan; spatial/single-cell atlas","Cellular and molecular landscapes of human tendons across the lifespan revealed by spatial and single-cell transcriptomics",2026,NA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317327,exclude,"False positive for skeletal muscle query; tendon tissue is outside the core skeletal muscle/FAP degeneration scope."
GSE324542,GEO,mouse,Mus musculus,kidney,kidney,unilateral ureteral obstruction fibrosis,adult mouse,not specified in search summary,not specified in search summary,"single-cell RNA-seq",scRNA-seq,yes,unclear,partial,"kidney fibrosis; oxidative stress; CD5L","A kidney-protective mechanism via cellular oxidative stress reduction induced by CD5L protein [UUO_scRNAseq]",2026,NA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324542,exclude,"False positive from generic fibrosis search; non-muscle tissue and not useful for skeletal muscle DA-FAP analysis."
GSE244889_GSE233666_scIVD,GEO,human,Homo sapiens,intervertebral disc,disc tissue,intervertebral disc degeneration,"mild vs severe disc degeneration",11 samples,not specified in source summary,"single-cell RNA-seq",scRNA-seq,yes,yes,yes,"Pfirrmann grade; nucleus pulposus; immune/stromal-like cells","Human intervertebral disc degeneration single-cell datasets",2024,NA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244889,exclude,"Relevant to spinal degeneration but tissue is intervertebral disc rather than paraspinal muscle; do not mix disc cells with skeletal muscle FAPs."
